nivel;confiabilidade;FAIXA_SCORE;OPERACAO;IDENTIFICA_GRUPO_MODELO;CANAL_PCO_AJUSTADO;taxa_conversao_ref;taxa_fpd_ref;n_aprovados;n_convertidos;n_maus;vars_usadas
1;ALTA;R04;MOVEL;G6 - EX CLIENTE COM DIVIDA;DIGITAL;0.665623603;0.5003357958;2237;1489;745;FAIXA_SCORE OPERACAO IDENTIFICA_GRUPO_MODELO CANAL_PCO_AJUSTADO
1;ALTA;R04;MOVEL;G6 - EX CLIENTE COM DIVIDA;OUTBOUND;0.6526458616;0.422037422;737;481;203;FAIXA_SCORE OPERACAO IDENTIFICA_GRUPO_MODELO CANAL_PCO_AJUSTADO
1;ALTA;R04;MOVEL;G6 - EX CLIENTE COM DIVIDA;OUTROS;0.5206213913;0.1840506998;7274;3787;697;FAIXA_SCORE OPERACAO IDENTIFICA_GRUPO_MODELO CANAL_PCO_AJUSTADO
1;ALTA;R04;MOVEL;G7 - PRE PAGO COM DIVIDA;CROSSELING;0.3818681319;0.3165467626;6188;2363;748;FAIXA_SCORE OPERACAO IDENTIFICA_GRUPO_MODELO CANAL_PCO_AJUSTADO
1;ALTA;R04;MOVEL;G7 - PRE PAGO COM DIVIDA;DIGITAL;0.8147117296;0.2350740198;7545;6147;1445;FAIXA_SCORE OPERACAO IDENTIFICA_GRUPO_MODELO CANAL_PCO_AJUSTADO
1;ALTA;R04;MOVEL;G7 - PRE PAGO COM DIVIDA;OUTBOUND;0.5701519214;0.3343782654;3357;1914;640;FAIXA_SCORE OPERACAO IDENTIFICA_GRUPO_MODELO CANAL_PCO_AJUSTADO
1;ALTA;R04;MOVEL;G7 - PRE PAGO COM DIVIDA;OUTROS;0.5194339623;0.2204867417;5300;2753;607;FAIXA_SCORE OPERACAO IDENTIFICA_GRUPO_MODELO CANAL_PCO_AJUSTADO
1;ALTA;R04;VIVO_TOTAL;G1 - CLIENTE RELACION BOM;CROSSELING;0.2433912631;0.0223245925;69567;16932;378;FAIXA_SCORE OPERACAO IDENTIFICA_GRUPO_MODELO CANAL_PCO_AJUSTADO
1;ALTA;R04;VIVO_TOTAL;G1 - CLIENTE RELACION BOM;DIGITAL;0.366975239;0.0153814602;13287;4876;75;FAIXA_SCORE OPERACAO IDENTIFICA_GRUPO_MODELO CANAL_PCO_AJUSTADO
1;ALTA;R04;VIVO_TOTAL;G1 - CLIENTE RELACION BOM;OUTROS;0.3287402173;0.0190637512;98771;32470;619;FAIXA_SCORE OPERACAO IDENTIFICA_GRUPO_MODELO CANAL_PCO_AJUSTADO
1;ALTA;R04;VIVO_TOTAL;G2 - EX CLIENTE RELACION BOM;OUTROS;0.3926045016;0.0728910729;3110;1221;89;FAIXA_SCORE OPERACAO IDENTIFICA_GRUPO_MODELO CANAL_PCO_AJUSTADO
1;ALTA;R04;VIVO_TOTAL;G3 - CLIENTE NOVO;OUTROS;0.3836541709;0.0859741784;8883;3408;293;FAIXA_SCORE OPERACAO IDENTIFICA_GRUPO_MODELO CANAL_PCO_AJUSTADO
1;ALTA;R04;VIVO_TOTAL;G4 - PRE PAGO SEM DIVIDA;OUTROS;0.4420039935;0.0546201232;5509;2435;133;FAIXA_SCORE OPERACAO IDENTIFICA_GRUPO_MODELO CANAL_PCO_AJUSTADO
1;ALTA;R04;VIVO_TOTAL;G5 - CLIENTE COM DIVIDA;CROSSELING;0.1990185387;0.0858447489;5502;1095;94;FAIXA_SCORE OPERACAO IDENTIFICA_GRUPO_MODELO CANAL_PCO_AJUSTADO
1;ALTA;R04;VIVO_TOTAL;G5 - CLIENTE COM DIVIDA;OUTROS;0.2906903897;0.0564655172;7981;2320;131;FAIXA_SCORE OPERACAO IDENTIFICA_GRUPO_MODELO CANAL_PCO_AJUSTADO
1;ALTA;R04;VIVO_TOTAL;G6 - EX CLIENTE COM DIVIDA;OUTROS;0.3707571802;0.1461267606;1532;568;83;FAIXA_SCORE OPERACAO IDENTIFICA_GRUPO_MODELO CANAL_PCO_AJUSTADO
1;ALTA;R05;FIXA;G1 - CLIENTE RELACION BOM;CROSSELING;0.3516880245;0.0264496439;30746;10813;286;FAIXA_SCORE OPERACAO IDENTIFICA_GRUPO_MODELO CANAL_PCO_AJUSTADO
1;ALTA;R05;FIXA;G1 - CLIENTE RELACION BOM;DIGITAL;0.6522371772;0.033463469;10996;7172;240;FAIXA_SCORE OPERACAO IDENTIFICA_GRUPO_MODELO CANAL_PCO_AJUSTADO
1;ALTA;R05;FIXA;G1 - CLIENTE RELACION BOM;OUTROS;0.3440283348;0.028009084;38398;13210;370;FAIXA_SCORE OPERACAO IDENTIFICA_GRUPO_MODELO CANAL_PCO_AJUSTADO
1;ALTA;R05;FIXA;G2 - EX CLIENTE RELACION BOM;DIGITAL;0.6483274648;0.0509164969;2272;1473;75;FAIXA_SCORE OPERACAO IDENTIFICA_GRUPO_MODELO CANAL_PCO_AJUSTADO
1;ALTA;R05;FIXA;G2 - EX CLIENTE RELACION BOM;OUTROS;0.436572024;0.0572792363;3839;1676;96;FAIXA_SCORE OPERACAO IDENTIFICA_GRUPO_MODELO CANAL_PCO_AJUSTADO
1;ALTA;R05;FIXA;G3 - CLIENTE NOVO;DIGITAL;0.6597048524;0.0460663507;7996;5275;243;FAIXA_SCORE OPERACAO IDENTIFICA_GRUPO_MODELO CANAL_PCO_AJUSTADO
1;ALTA;R05;FIXA;G3 - CLIENTE NOVO;OUTROS;0.5073218938;0.0556047459;11131;5647;314;FAIXA_SCORE OPERACAO IDENTIFICA_GRUPO_MODELO CANAL_PCO_AJUSTADO
1;ALTA;R05;FIXA;G5 - CLIENTE COM DIVIDA;CROSSELING;0.2389662028;0.0890183028;5030;1202;107;FAIXA_SCORE OPERACAO IDENTIFICA_GRUPO_MODELO CANAL_PCO_AJUSTADO
1;ALTA;R05;FIXA;G5 - CLIENTE COM DIVIDA;OUTROS;0.2895927602;0.0875;4420;1280;112;FAIXA_SCORE OPERACAO IDENTIFICA_GRUPO_MODELO CANAL_PCO_AJUSTADO
1;ALTA;R05;FIXA;G6 - EX CLIENTE COM DIVIDA;DIGITAL;0.6247906198;0.0898123324;1194;746;67;FAIXA_SCORE OPERACAO IDENTIFICA_GRUPO_MODELO CANAL_PCO_AJUSTADO
1;ALTA;R05;FIXA;G6 - EX CLIENTE COM DIVIDA;OUTROS;0.4543378995;0.101758794;1752;796;81;FAIXA_SCORE OPERACAO IDENTIFICA_GRUPO_MODELO CANAL_PCO_AJUSTADO
1;ALTA;R05;MOVEL;G0 - CLIENTE ALTO VALOR;DIGITAL;0.5875440658;0.176;851;500;88;FAIXA_SCORE OPERACAO IDENTIFICA_GRUPO_MODELO CANAL_PCO_AJUSTADO
1;ALTA;R05;MOVEL;G1 - CLIENTE RELACION BOM;CROSSELING;0.4171814803;0.0629391361;161709;67462;4246;FAIXA_SCORE OPERACAO IDENTIFICA_GRUPO_MODELO CANAL_PCO_AJUSTADO
1;ALTA;R05;MOVEL;G1 - CLIENTE RELACION BOM;DIGITAL;0.7227120705;0.0873513447;134849;97457;8513;FAIXA_SCORE OPERACAO IDENTIFICA_GRUPO_MODELO CANAL_PCO_AJUSTADO
1;ALTA;R05;MOVEL;G1 - CLIENTE RELACION BOM;OUTBOUND;0.5686672551;0.0911066273;11330;6443;587;FAIXA_SCORE OPERACAO IDENTIFICA_GRUPO_MODELO CANAL_PCO_AJUSTADO
1;ALTA;R05;MOVEL;G1 - CLIENTE RELACION BOM;OUTROS;0.3873158271;0.0492706961;264629;102495;5050;FAIXA_SCORE OPERACAO IDENTIFICA_GRUPO_MODELO CANAL_PCO_AJUSTADO
1;ALTA;R05;MOVEL;G1 - CLIENTE RELACION BOM;URA_ATIVACAO;0.2425265881;0.2628148148;13916;3375;887;FAIXA_SCORE OPERACAO IDENTIFICA_GRUPO_MODELO CANAL_PCO_AJUSTADO
1;ALTA;R05;MOVEL;G2 - EX CLIENTE RELACION BOM;CROSSELING;0.3371356147;0.3195488722;1578;532;170;FAIXA_SCORE OPERACAO IDENTIFICA_GRUPO_MODELO CANAL_PCO_AJUSTADO
1;ALTA;R05;MOVEL;G2 - EX CLIENTE RELACION BOM;DIGITAL;0.6860867794;0.4423990499;4909;3368;1490;FAIXA_SCORE OPERACAO IDENTIFICA_GRUPO_MODELO CANAL_PCO_AJUSTADO
1;ALTA;R05;MOVEL;G2 - EX CLIENTE RELACION BOM;OUTBOUND;0.5983854692;0.2731871838;991;593;162;FAIXA_SCORE OPERACAO IDENTIFICA_GRUPO_MODELO CANAL_PCO_AJUSTADO
1;ALTA;R05;MOVEL;G2 - EX CLIENTE RELACION BOM;OUTROS;0.5040904556;0.1360337775;15035;7579;1031;FAIXA_SCORE OPERACAO IDENTIFICA_GRUPO_MODELO CANAL_PCO_AJUSTADO
1;ALTA;R05;MOVEL;G2 - EX CLIENTE RELACION BOM;URA_ATIVACAO;0.2818416523;0.4763358779;2324;655;312;FAIXA_SCORE OPERACAO IDENTIFICA_GRUPO_MODELO CANAL_PCO_AJUSTADO
1;ALTA;R05;MOVEL;G3 - CLIENTE NOVO;CROSSELING;0.3655357882;0.4385964912;4834;1767;775;FAIXA_SCORE OPERACAO IDENTIFICA_GRUPO_MODELO CANAL_PCO_AJUSTADO
1;ALTA;R05;MOVEL;G3 - CLIENTE NOVO;DIGITAL;0.7066897166;0.5255003706;19089;13490;7089;FAIXA_SCORE OPERACAO IDENTIFICA_GRUPO_MODELO CANAL_PCO_AJUSTADO
1;ALTA;R05;MOVEL;G3 - CLIENTE NOVO;OUTBOUND;0.575115023;0.2897391304;4999;2875;833;FAIXA_SCORE OPERACAO IDENTIFICA_GRUPO_MODELO CANAL_PCO_AJUSTADO
1;ALTA;R05;MOVEL;G3 - CLIENTE NOVO;OUTROS;0.5497151431;0.1328101676;42653;23447;3114;FAIXA_SCORE OPERACAO IDENTIFICA_GRUPO_MODELO CANAL_PCO_AJUSTADO
1;ALTA;R05;MOVEL;G3 - CLIENTE NOVO;URA_ATIVACAO;0.2920495406;0.5164158687;5006;1462;755;FAIXA_SCORE OPERACAO IDENTIFICA_GRUPO_MODELO CANAL_PCO_AJUSTADO
